#  min       max    nin  nout    f        ef     <mag>    <dmag>    sigma
#  F814W
   29.000   29.250  195   74    0.379    0.035   29.114    0.144    0.410
   29.250   29.500  209   26    0.124    0.023   29.356    0.110    0.498
   29.500   29.750  225   35    0.156    0.024   29.614    0.439    0.410
   29.750   30.000  201   14    0.070    0.018   29.882    0.582    0.582
   30.000   30.250  226   12    0.053    0.015   30.130    0.499    0.523
   30.250   30.500  196   10    0.051    0.016   30.387    0.915    0.366
   30.500   30.750  219    9    0.041    0.013   30.635    0.810    0.697
   30.750   31.000  213    7    0.033    0.012   30.834    1.246    0.365
   31.000   31.250  228    1    0.004    0.004   31.118    2.142      NaN
   31.250   31.500  180    2    0.011    0.008   31.432    1.738    0.436
   31.500   31.750  197    1    0.005    0.005   31.710    3.245      NaN
   31.750   32.000  192    3    0.016    0.009   31.867    2.595    0.711
