#   min     max     nin  nout    f        ef      <mag>   <dmag>    sigma
#  F814W
   29.000   29.250  205   55    0.268    0.031   29.131    0.175    0.362
   29.250   29.500  209   46    0.220    0.029   29.380    0.188    0.491
   29.500   29.750  205   36    0.176    0.027   29.610    0.277    0.636
   29.750   30.000  222   20    0.090    0.019   29.850    0.312    0.553
   30.000   30.250  182   15    0.082    0.020   30.118    0.244    0.696
   30.250   30.500  201    7    0.035    0.013   30.372    0.780    0.756
   30.500   30.750  208    8    0.038    0.013   30.588    0.860    0.364
   30.750   31.000  216    6    0.028    0.011   30.888    1.180    0.403
   31.000   31.250  218    2    0.009    0.006   31.101    1.506    0.836
   31.250   31.500  217    5    0.023    0.010   31.336    2.047    0.666
   31.500   31.750  220    2    0.009    0.006   31.664    1.786    0.027
   31.750   32.000  205    3    0.015    0.008   31.853    2.171    0.219
